id,slug,title,description,status,category,factsDate,startDate,verdictDate,annee_faits,annee_verdict,duree_procedure,sentence,appeal,politician_id,politician_name,politician_slug,party_short,party_name,position_politique,institution,departmentCode,constituency,age_approx,annee_naissance,isCurrent
cmmt0k2wr0000ryv5r4guuaxm,emploi-fictif-assistant-parlementaire-yann-bompard,Emploi fictif d'assistant parlementaire,"Yann Bompard est condamné pour avoir occupé un emploi fictif d'assistant parlementaire de la députée Marie-France Lorho entre novembre 2022 et février 2023. L'Assemblée nationale, partie civile, estime son préjudice à environ 75 000 euros. Le tribunal correctionnel de Marseille le condamne le 26 janvier 2026 à cinq ans d'inéligibilité avec exécution provisoire et dix-huit mois de prison avec sursis. L'inéligibilité entraîne la perte immédiate de son mandat de maire d'Orange. Yann Bompard et sa co-accusée Marie-France Lorho font appel de la décision.",APPEL_EN_COURS,EMPLOI_FICTIF,2022-11-01T00:00:00.000Z,Non spécifié,2026-01-26T00:00:00.000Z,2022.0,2026.0,,Non spécifié,False,cmmowm65u22hougv5tl0p2p1k,Yann Bompard,yann-bompard,LS,Ligue du Sud,Non spécifié,Non spécifié,Non spécifié,Non spécifié,39.0,1986.0,Non spécifié
cmmnpqavz00009rv5oqh2m09a,francois-grosdidier-detournement-fonds-publics-remuneration-woippy,Detournement de fonds publics pour remuneration irreguliere a Woippy,"Alors qu'il etait maire de Woippy (2001-2017), Francois Grosdidier aurait gonfle les chiffres de population officielle de la commune pour justifier des budgets de personnel plus eleves, permettant la remuneration irreguliere de collaborateurs. Le montant estime des remunerations irregulieres s'eleve a environ 569 000 euros. En 2024, le juge d'instruction a prononce un non-lieu partiel, mais la chambre de l'instruction de la cour d'appel de Paris, saisie par Anticor, a infirme partiellement cette decision : le non-lieu pour favoritisme a ete confirme, mais le renvoi devant le tribunal correctionnel pour detournement de fonds publics a ete ordonne. Grosdidier a forme un pourvoi en cassation, suspendant la procedure dans l'attente de la decision de la Cour de cassation.",RENVOI_TRIBUNAL,DETOURNEMENT_FONDS_PUBLICS,2010-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,Non spécifié,2010.0,,,Non spécifié,False,cmlrjqllt0015xh3yhhrc2nk5,François Grosdidier,francois-grosdidier,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,64.0,1961.0,Non spécifié
cmmno2bms0000iuv58jnwq9ey,nicolas-sansu-plainte-harcelement-decembre-2025,Plainte pour harcelement deposee par une ancienne relation,"Le 22 decembre 2025, une ancienne relation de Nicolas Sansu a depose plainte pour harcelement aupres du parquet de Bourges. Selon la plaignante, le depute se serait presente en etat d'ebriete a ce qu'il pensait etre son domicile (mauvaise adresse), aurait crie et jete un chargeur de telephone contre la fenetre. La plaignante affirme que le harcelement dure depuis plusieurs annees. Le PCF du Cher a suspendu ses droits de parti et lui a demande de se mettre en retrait de toutes ses responsabilites. Sansu conteste les faits, parlant d'une 'mauvaise histoire d'amour'. Une enquete a ete ouverte par le parquet de Bourges.",ENQUETE_PRELIMINAIRE,HARCELEMENT_MORAL,2025-12-22T00:00:00.000Z,2025-12-23T00:00:00.000Z,Non spécifié,2025.0,,,Non spécifié,False,cmkjnz793002uvtv5q1hkxl5y,Nicolas Sansu,nicolas-sansu,PCF,Parti communiste français,Non spécifié,Non spécifié,Non spécifié,Non spécifié,57.0,1968.0,Non spécifié
cmmnm9z3z0000snv52zos284s,valerie-boyer-diffamation-farida-benaouda-mosquee-bleuets-marseille,Poursuites pour diffamation envers Farida Benaouda (mosquee des Bleuets),"Valerie Boyer, ainsi que les conseillers municipaux Catherine Pila et Pierre Robin, ont ete cites a comparaitre devant le tribunal correctionnel de Marseille pour diffamation publique envers Farida Benaouda, elue du Printemps marseillais. Les propos vises ont ete tenus sur X (ex-Twitter) et dans La Provence, concernant la mosquee des Bleuets dans le 13e arrondissement de Marseille. Une premiere audience a eu lieu fin 2024, suivie d'un renvoi. L'audience est fixee au 2 septembre 2025.",PROCES_EN_COURS,DIFFAMATION,2024-06-01T00:00:00.000Z,2024-11-01T00:00:00.000Z,Non spécifié,2024.0,,,Non spécifié,False,cmksfd9up00jfc0v5wemviy6g,Valérie Boyer,valerie-boyer,LR,Les Républicains,Non spécifié,Non spécifié,Non spécifié,Non spécifié,63.0,1962.0,Non spécifié
cmmnk3w3s000064v5r5xj1rvt,christine-engrand-delit-de-fuite-guines-septembre-2025,Enquete pour delit de fuite apres un accident a Guines,"Le 22 septembre 2025, une Volkswagen Beetle blanche appartenant a Christine Engrand a percute un vehicule en stationnement a Guines (Pas-de-Calais), a quelques centaines de metres de son bureau parlementaire, puis a quitte les lieux sans s'arreter. Une plainte a ete deposee le lendemain et l'enquete a ete confiee a l'Unite de police judiciaire de Calais. Le dossier est en cours d'instruction au parquet de Boulogne-sur-Mer. Fait aggravant : le tribunal de Boulogne avait juge en mai 2025 qu'Engrand n'avait pas de permis de conduire valide depuis 2009.",ENQUETE_PRELIMINAIRE,AUTRE,2025-09-22T00:00:00.000Z,2025-09-23T00:00:00.000Z,Non spécifié,2025.0,,,Non spécifié,False,cmkjo0cmb00iovtv5dkkmksfz,Christine Engrand,christine-engrand,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,70.0,1955.0,Non spécifié
cmmnd91b50006fvv5illj9c55,aurelien-tache-plainte-prefet-diffamation-police-tue,Plainte du prefet du Val-d'Oise pour diffamation envers les forces de l'ordre,"En aout 2025, le prefet du Val-d'Oise a depose plainte pour diffamation contre Aurelien Tache. Le depute avait ecrit sur X que ""la police tue partout"" en reference a la mort de Gabriel Bee, tue par un gendarme dans la nuit du 20-21 mai 2025 a Auge (Val-d'Oise).",ENQUETE_PRELIMINAIRE,DIFFAMATION,2025-08-01T00:00:00.000Z,2025-08-20T00:00:00.000Z,Non spécifié,2025.0,,,Non spécifié,False,cmkjnznbh0090vtv5w5wcsyrx,Aurélien Taché,aurelien-tache,LFI,La France insoumise,Non spécifié,Non spécifié,Non spécifié,Non spécifié,41.0,1984.0,Non spécifié
cmmnd916f0003fvv5w0yre8wm,sebastien-delogu-convocation-police-propos-adama-traore,Convocation policiere pour propos sur la mort d'Adama Traore,"En mars 2026, Sebastien Delogu est convoque par la police a Marseille apres une plainte du prefet de region. Le depute avait declare lors d'une reunion de campagne municipale que ""la police tue partout"", en reference a la mort d'Adama Traore. Le prefet a depose plainte pour diffamation envers les forces de l'ordre.",ENQUETE_PRELIMINAIRE,DIFFAMATION,2026-03-01T00:00:00.000Z,2026-03-05T00:00:00.000Z,Non spécifié,2026.0,,,Non spécifié,False,cmkjo00n800e4vtv5xfq65kxw,Sébastien Delogu,sebastien-delogu,LFI,La France insoumise,Non spécifié,Non spécifié,Non spécifié,Non spécifié,38.0,1987.0,Non spécifié
cmmnd910y0000fvv5erl5iwqf,pascal-markowsky-enquete-banqueroute-liquidation-mpc,Enquete pour banqueroute apres la liquidation judiciaire de MPC,"La societe MPC (Media Publicite Conseil), entreprise d'imprimerie et de signaletique de Pascal Markowsky, a ete placee en liquidation judiciaire le 27 mai 2025 par le tribunal de commerce de La Rochelle. Le parquet de La Rochelle a ouvert une enquete pour banqueroute. Cette affaire est distincte des commandes d'imprimerie surfacturees, et porte specifiquement sur les conditions de la faillite de l'entreprise.",ENQUETE_PRELIMINAIRE,ABUS_BIENS_SOCIAUX,2025-05-27T00:00:00.000Z,2025-06-01T00:00:00.000Z,Non spécifié,2025.0,,,Non spécifié,False,cmkjo0vau00pyvtv5vd33hz5w,Pascal Markowsky,pascal-markowsky,RN,Rassemblement National,Non spécifié,Non spécifié,Non spécifié,Non spécifié,71.0,1954.0,Non spécifié
cmmncz5280003bbv5wtusj6hm,marine-tondelier-relaxe-diffamation-viticulteurs-narbonne,Relaxe pour diffamation envers des viticulteurs de l'Aude,"Des viticulteurs de l'Aude ont depose plainte pour diffamation contre Marine Tondelier a la suite de propos tenus lors d'une visite avec Sandrine Rousseau. Le tribunal correctionnel de Narbonne l'a relaxee le 25 octobre 2024, estimant qu'il n'y avait pas d'intention diffamatoire.",RELAXE,DIFFAMATION,2024-06-01T00:00:00.000Z,Non spécifié,2024-10-25T00:00:00.000Z,2024.0,2024.0,,Non spécifié,False,cmll0vym100002dv57ns6q8wa,Marine Tondelier,marine-tondelier,EELV,Les Écologistes – Europe Écologie Les Verts,Non spécifié,Non spécifié,Non spécifié,Non spécifié,39.0,1986.0,Non spécifié
cmmnbhde30006zlv5ym58e41l,rima-hassan-enquete-apologie-terrorisme-declarations-hamas,Enquete pour apologie du terrorisme apres des declarations sur le Hamas,"En fevrier 2024, Rima Hassan declare sur Sud Radio que ""le Hamas a une action legitime au regard du droit international"". Plusieurs plaintes sont deposees, notamment par le BNVCA. Elle est entendue en audition libre le 17 avril 2025. Selon Europe 1 (mars 2026), un renvoi en correctionnelle serait attendu avant l'ete 2026. L'enquete est en cours.",ENQUETE_PRELIMINAIRE,AUTRE,2024-02-01T00:00:00.000Z,2024-02-15T00:00:00.000Z,Non spécifié,2024.0,,,Non spécifié,False,cmksr6kvq000ra2v58tvsqs4y,Rima Hassan,rima-hassan,LFI,La France insoumise,Non spécifié,Non spécifié,Non spécifié,Non spécifié,33.0,1992.0,Non spécifié
